switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf2_b,Eth1/13/1,10.106.213.1,VideoIPath 3,routed,,TRUE,TRUE,,
leaf2_b,Eth1/13/2,10.106.213.5,Firewall,routed,,TRUE,TRUE,,
leaf2_b,Eth1/13/3,,,,,,,,
leaf2_b,Eth1/13/4,,,,,,,,
leaf2_b,Eth1/14,,,,,,,,
leaf2_b,Eth1/15,,,,,,,,
leaf2_b,Eth1/16,,,,,,,,
leaf2_b,Eth1/17,,,,,,,,
leaf2_b,Eth1/18,,,,,,,,
leaf2_b,Eth1/19,,,,,,,,
leaf2_b,Eth1/20,,,,,,,,
leaf2_b,Eth1/21,,,,,,,,
leaf2_b,Eth1/22,,,,,,,,
leaf2_b,Eth1/23,,,,,,,,
leaf2_b,Eth1/24,,,,,,,,
leaf2_b,Eth1/25,,,,,,,,
leaf2_b,Eth1/26,,,,,,,,
leaf2_b,Eth1/27,10.106.100.122,eMerge Port 31,routed,,TRUE,TRUE,,
leaf2_b,Eth1/28,10.106.100.126,eMerge Port 32,routed,,TRUE,TRUE,,
leaf2_b,Eth1/29,10.106.56.2,Spine Port 56,routed,,,TRUE,TRUE,
leaf2_b,Eth1/30,10.106.57.2,Spine Port 57,routed,,,TRUE,TRUE,
leaf2_b,Eth1/31,10.106.58.2,Spine Port 58,routed,,,TRUE,,
leaf2_b,Eth1/32,10.106.59.2,Spine Port 59,routed,,,TRUE,,
leaf2_b,Eth1/33,10.106.60.2,Spine Port 60,routed,,,TRUE,,
leaf2_b,Eth1/34,10.106.61.2,Spine Port 61,routed,,,TRUE,,
leaf2_b,Eth1/35,10.106.62.2,Spine Port 62,routed,,,TRUE,,
leaf2_b,Eth1/36,10.106.63.2,Spine Port 63,routed,,,TRUE,,
